WINE_ID,WINE_NM,WINE_AREA_NM,WINE_CTGRY,WINE_PRC
"2","1000 Stories Bourbon Barrel Aged Zinfandel 2016","Zinfandel from California","red wine","19"
"3","13 Celsius Sauvignon Blanc 2017","Sauvignon Blanc from Marlborough, New Zealand","white wine","17"
"4","14 Hands Riesling 2016","Riesling from Washington","white wine","10"
"5","14 Hands Chardonnay 2015","Chardonnay from Washington","white wine","10"
"6","14 Hands Cabernet Sauvignon 2016","Cabernet Sauvignon from Columbia Valley, Washington","red wine","12"
"7","14 Hands Moscato 2015","Muscat from Columbia Valley, Washington","white wine","9"
"8","14 Hands Sauvignon Blanc 2015","Sauvignon Blanc from Washington","white wine","12"
"9","14 Hands Hot to Trot White Blend 2016","Other White Blends from Washington","white wine","12"
"10","14 Hands Rose 2017","Rosé from Washington","pink and rosé","12"
"11","14 Hands Run Wild Juicy Red Blend 2016","Rhone Red Blends from Columbia Valley, Washington","red wine","10"
"12","14 Hands Limited Release Kentucky Derby Red Blend 2014","Other Red Blends from Columbia Valley, Washington","red wine","12"
"13","14 Hands Brut","Non-Vintage Sparkling Wine from Columbia Valley, Washington","sparkling & champagne","14"
"14","14 Hands Merlot 2015","Merlot from Columbia Valley, Washington","red wine","10"
"15","14 Hands Pinot Grigio 2016","Pinot Gris/Grigio from Washington","white wine","12"
"16","14 Hands Stampede Red Blend 2015","Other Red Blends from Columbia Valley, Washington","red wine","11"
"17","1849 Au Jus Chardonnay 2017","Chardonnay from Monterey, Central Coast, California","white wine","25"
"18","1849 Anonymous Napa Valley Red 2015","Other Red Blends from Napa Valley, California","red wine","40"
"19","1849 Iris Pinot Noir 2016","Pinot Noir from Sonoma Coast, Sonoma County, California","red wine","30"
"20","1849 Declaration Napa Valley Cabernet Sauvignon 2014","Cabernet Sauvignon from Napa Valley, California","red wine","80"
"21","1849 Triumph Red Blend 2015","Other Red Blends from Sonoma County, California","red wine","45"
"22","19 Crimes The Banished Dark Red 2017","Other Red Blends from Australia","red wine","11"
"23","19 Crimes Cabernet Sauvignon 2018","Cabernet Sauvignon from Barossa, Australia","red wine","11"
"24","19 Crimes The Warden 2016","Syrah/Shiraz from Barossa, Australia","red wine","20"
"25","19 Crimes The Punishment Pinot Noir 2017","Pinot Noir from Australia","red wine","11"
"26","19 Crimes Hard Chard 2017","Chardonnay from Australia","white wine","12"
"27","19 Crimes The Uprising 2017","Other Red Blends from Barossa, Australia","red wine","9"
"28","19 Crimes Red Blend 2017","Other Red Blends from Barossa, Australia","red wine","11"
"29","3 Ball Zinfandel 2015","Zinfandel from California","red wine","12"
"30","3 Girls Pure Red Blend 2016","Other Red Blends from Lodi, California","red wine","13"
"31","3 Girls Pinot Noir 2016","Pinot Noir from California","red wine","15"
"32","3 Girls Cabernet Sauvignon 2016","Cabernet Sauvignon from Lodi, California","red wine","17"
"33","3 Rings Shiraz 2015","Syrah/Shiraz from Barossa Valley, Barossa, Australia","red wine","20"
"34","689 Cellars Killer Drop Red Blend 2015","Other Red Blends from California","red wine","30"
"35","7 Deadly Zins Zinfandel 2016","Zinfandel from Lodi, California","red wine","18"
"36","7 Deadly Zins Zinfandel (375ml Half-Bottle) 2016","Zinfandel from Lodi, California","red wine","11"
"37","7 Deadly Red 2016","Other Red Blends from Lodi, California","red wine","18"
"38","7 Moons Red Blend 2016","Other Red Blends from California","red wine","13"
"39","99 West Pinot Noir 2014","Pinot Noir from Willamette Valley, Oregon","red wine","19"
"40","A by Acacia Pinot Noir 2016","Pinot Noir from California","red wine","16"
"41","A by Acacia Unoaked Chardonnay 2016","Chardonnay from California","white wine","14"
"42","A by Acacia Pinot Noir 2015","Pinot Noir from California","red wine","15"
"43","A by Acacia California Chardonnay 2015","Chardonnay from California","white wine","11"
"44","A by Acacia Rose of Pinot Noir 2016","Rosé from Napa Valley, California","pink and rosé","15"
"45","A by Acacia California Chardonnay 2016","Chardonnay from California","white wine","12"
"46","A Mano Negroamaro 2015","Negroamaro from Puglia, Italy","red wine","13"
"47","A Mano Bianco 2015","Other White Blends from Puglia, Italy","white wine","11"
"48","A Portela Mencia 2014","Mencia from Valdeorras, Spain","red wine","17"
"49","A to Z Riesling 2018","Riesling from Rogue Valley, Oregon","white wine","18"
"50","A to Z Rose Bubbles","Rosé Sparkling Wine from Oregon","sparkling & champagne","18"
"51","A to Z Pinot Noir 2014","Pinot Noir from Oregon","red wine","20"
"52","A to Z Pinot Noir (375ML half-bottle) 2017","Pinot Noir from Oregon","red wine","13"
"53","A to Z Pinot Gris 2017","Pinot Gris/Grigio from Oregon","white wine","16"
"54","A to Z Chardonnay 2017","Chardonnay from Oregon","white wine","17"
"55","A to Z Rose 2017","Rosé from Oregon","pink and rosé","17"
"56","A to Z Riesling 2017","Riesling from Rogue Valley, Oregon","white wine","15"
"57","A Tribute to Grace Provisor Vineyard Grenache 2014","Grenache from Dry Creek Valley, Sonoma County, California","red wine","58"
"58","A Tribute to Grace Santa Barbara County Grenache 2016","Grenache from Santa Barbara, Central Coast, California","red wine","33"
"59","A Tribute to Grace Shake Ridge Ranch Vineyard Grenache 2013","Grenache from Amador, Sierra Foothills, California","red wine","77"
"60","A Tribute to Grace Santa Barbara Highlands Vineyard Rose of Grenache 2018","Rosé from Santa Barbara, Central Coast, California","pink and rosé","26"
"61","A Tribute to Grace Vie Caprice Vineyard Grenache 2015","Grenache from Santa Ynez Valley, Santa Barbara, Central Coast, California","red wine","48"
"62","A Tribute to Grace Santa Barbara County Grenache 2017","Grenache from Santa Barbara, Central Coast, California","red wine","30"
"63","A.J. Adam Dhron Hofberg Kabinett Riesling 2017","Riesling from Mosel, Germany","white wine","30"
"64","A.P. Vin Ridgetop Vineyard Pinot Noir 2016","Pinot Noir from Sonoma Coast, Sonoma County, California","red wine","58"
"65","A.P. Vin Rosella's Vineyard Pinot Noir 2016","Pinot Noir from Santa Lucia Highlands, Monterey, Central Coast, California","red wine","56"
"66","A.P. Vin Clos Pepe Vineyard Pinot Noir 2017","Pinot Noir from Sta. Rita Hills, Santa Barbara, Central Coast, California","red wine","50"
"67","A.P. Vin Sun Chase Vineyard Pinot Noir 2017","Pinot Noir from Petaluma Gap, Sonoma Coast, Sonoma County, California","red wine","50"
"68","A.P. Vin Garys' Vineyard Pinot Noir 2016","Pinot Noir from Santa Lucia Highlands, Monterey, Central Coast, California","red wine","60"
"69","A.P. Vin Rosella's Vineyard Pinot Noir 2017","Pinot Noir from Santa Lucia Highlands, Monterey, Central Coast, California","red wine","50"
